seed,window_flank,sequence_length,model,accuracy,macro_precision,macro_recall,macro_f1,auroc,auprc,donor_f1,acceptor_f1,non_splice_f1,hard_negative_fpr
44,50,101,CNN baseline (PyTorch Conv1D),0.839907192575406,0.8443010265700482,0.8446560619746774,0.8426635802500665,0.950147887369306,0.9078117807344434,0.9105058365758755,0.8461538461538461,0.7713310580204779,0.2709677419354839
44,50,101,RNA-FM frozen encoder + MLP,0.8004640371229699,0.8018819676756824,0.8030602888817442,0.8024214527686343,0.9157585981463611,0.844839335564255,0.8199233716475096,0.8600682593856656,0.7272727272727273,0.27741935483870966
44,50,101,RNABERT frozen encoder + MLP,0.8120649651972158,0.8115840911316331,0.8190966108874158,0.8135776697366452,0.9285216165121574,0.8643611309813893,0.8823529411764706,0.825503355704698,0.7328767123287672,0.3096774193548387
44,100,201,CNN baseline (PyTorch Conv1D),0.8190255220417634,0.8257076443106378,0.8225488344875335,0.8231936170281798,0.9493103602128671,0.907722805602321,0.8924302788844621,0.8246753246753247,0.7524752475247525,0.2645161290322581
44,100,201,RNA-FM frozen encoder + MLP,0.7610208816705336,0.7612241916634203,0.7666658161138923,0.7634059982700908,0.9060000739007884,0.8125848204230267,0.8226415094339623,0.8053691275167785,0.6622073578595318,0.36129032258064514
44,100,201,RNABERT frozen encoder + MLP,0.8306264501160093,0.8307511915146458,0.8375189035354076,0.8323089172445841,0.9392172192026447,0.8885234763011395,0.9037037037037037,0.8372093023255814,0.7560137457044673,0.2903225806451613
44,200,401,CNN baseline (PyTorch Conv1D),0.8329466357308585,0.8390732220268747,0.837571637807411,0.8353245848838982,0.9482291868844707,0.905306212024545,0.9019607843137255,0.8427672955974843,0.7612456747404844,0.2903225806451613
44,200,401,RNA-FM frozen encoder + MLP,0.7842227378190255,0.7857986630918047,0.7884052645814514,0.7869068064474994,0.9180583307278081,0.8438983615486091,0.8257575757575758,0.8356164383561644,0.6993464052287581,0.3096774193548387
44,200,401,RNABERT frozen encoder + MLP,0.814385150812065,0.8146997929606625,0.82108248150473,0.814936773046732,0.9308062722646602,0.8733389364583305,0.8773234200743495,0.8376623376623377,0.7298245614035088,0.32903225806451614
44,400,801,CNN baseline (PyTorch Conv1D),0.8236658932714617,0.8299781464521349,0.8285360455760199,0.8257540821206532,0.9456697650027278,0.9016480116243409,0.8941176470588236,0.8375,0.7456445993031359,0.3096774193548387
44,400,801,RNA-FM frozen encoder + MLP,0.7842227378190255,0.7879500272331156,0.7880541563962419,0.7879605142899565,0.9094830318356091,0.8332946858181604,0.8482490272373541,0.8013468013468014,0.7142857142857143,0.2903225806451613
44,400,801,RNABERT frozen encoder + MLP,0.8468677494199536,0.8471835835284396,0.8513417470013761,0.8476675158786359,0.9353613435787901,0.881476611797774,0.8863636363636364,0.8758169934640523,0.7808219178082192,0.2645161290322581
